Price,Quantity,Datetime,Type
101181.1,3.795,2024-12-14 01:17:19,Bid
101181.0,0.001,2024-12-14 01:17:19,Bid
101180.2,0.001,2024-12-14 01:17:19,Bid
101180.0,0.001,2024-12-14 01:17:19,Bid
101179.5,0.1,2024-12-14 01:17:19,Bid
101179.4,0.04,2024-12-14 01:17:19,Bid
101179.2,0.001,2024-12-14 01:17:19,Bid
101179.1,0.001,2024-12-14 01:17:19,Bid
101179.0,0.002,2024-12-14 01:17:19,Bid
101177.7,0.04,2024-12-14 01:17:19,Bid
101177.2,0.041,2024-12-14 01:17:19,Bid
101177.1,0.001,2024-12-14 01:17:19,Bid
101176.9,0.03,2024-12-14 01:17:19,Bid
101176.4,0.04,2024-12-14 01:17:19,Bid
101176.2,0.001,2024-12-14 01:17:19,Bid
101175.6,0.04,2024-12-14 01:17:19,Bid
101175.1,0.003,2024-12-14 01:17:19,Bid
101174.9,0.03,2024-12-14 01:17:19,Bid
101174.8,0.002,2024-12-14 01:17:19,Bid
101174.7,0.002,2024-12-14 01:17:19,Bid
101174.6,0.02,2024-12-14 01:17:19,Bid
101174.5,0.003,2024-12-14 01:17:19,Bid
101174.1,0.001,2024-12-14 01:17:19,Bid
101174.0,0.04,2024-12-14 01:17:19,Bid
101173.8,0.271,2024-12-14 01:17:19,Bid
101173.7,0.003,2024-12-14 01:17:19,Bid
101173.4,0.04,2024-12-14 01:17:19,Bid
101173.3,0.03,2024-12-14 01:17:19,Bid
101173.1,0.001,2024-12-14 01:17:19,Bid
101173.0,0.001,2024-12-14 01:17:19,Bid
101172.9,0.08,2024-12-14 01:17:19,Bid
101172.3,0.049,2024-12-14 01:17:19,Bid
101172.2,0.12,2024-12-14 01:17:19,Bid
101172.1,0.125,2024-12-14 01:17:19,Bid
101172.0,0.287,2024-12-14 01:17:19,Bid
101171.9,0.002,2024-12-14 01:17:19,Bid
101171.8,0.123,2024-12-14 01:17:19,Bid
101171.7,0.152,2024-12-14 01:17:19,Bid
101171.6,0.496,2024-12-14 01:17:19,Bid
101171.5,0.3,2024-12-14 01:17:19,Bid
101171.4,0.423,2024-12-14 01:17:19,Bid
101171.3,0.002,2024-12-14 01:17:19,Bid
101171.2,0.002,2024-12-14 01:17:19,Bid
101171.1,0.003,2024-12-14 01:17:19,Bid
101171.0,0.694,2024-12-14 01:17:19,Bid
101170.9,1.427,2024-12-14 01:17:19,Bid
101170.8,0.051,2024-12-14 01:17:19,Bid
101170.6,0.003,2024-12-14 01:17:19,Bid
101170.4,0.002,2024-12-14 01:17:19,Bid
101170.2,0.01,2024-12-14 01:17:19,Bid
101170.1,0.031,2024-12-14 01:17:19,Bid
101170.0,0.308,2024-12-14 01:17:19,Bid
101169.9,0.006,2024-12-14 01:17:19,Bid
101169.8,0.038,2024-12-14 01:17:19,Bid
101169.7,0.043,2024-12-14 01:17:19,Bid
101169.6,0.065,2024-12-14 01:17:19,Bid
101169.5,0.02,2024-12-14 01:17:19,Bid
101169.4,0.101,2024-12-14 01:17:19,Bid
101169.2,0.04,2024-12-14 01:17:19,Bid
101169.1,0.001,2024-12-14 01:17:19,Bid
101169.0,0.068,2024-12-14 01:17:19,Bid
101168.9,0.09,2024-12-14 01:17:19,Bid
101168.8,0.012,2024-12-14 01:17:19,Bid
101168.6,0.055,2024-12-14 01:17:19,Bid
101168.5,0.032,2024-12-14 01:17:19,Bid
101168.4,0.507,2024-12-14 01:17:19,Bid
101168.3,0.867,2024-12-14 01:17:19,Bid
101168.2,0.179,2024-12-14 01:17:19,Bid
101168.0,0.721,2024-12-14 01:17:19,Bid
101167.9,0.41,2024-12-14 01:17:19,Bid
101167.8,0.014,2024-12-14 01:17:19,Bid
101167.7,0.026,2024-12-14 01:17:19,Bid
101167.6,0.04,2024-12-14 01:17:19,Bid
101167.5,0.047,2024-12-14 01:17:19,Bid
101167.2,0.08,2024-12-14 01:17:19,Bid
101167.0,0.041,2024-12-14 01:17:19,Bid
101166.9,0.001,2024-12-14 01:17:19,Bid
101166.8,0.008,2024-12-14 01:17:19,Bid
101166.7,0.082,2024-12-14 01:17:19,Bid
101166.6,0.032,2024-12-14 01:17:19,Bid
101166.5,0.002,2024-12-14 01:17:19,Bid
101166.3,0.741,2024-12-14 01:17:19,Bid
101166.1,0.005,2024-12-14 01:17:19,Bid
101166.0,0.003,2024-12-14 01:17:19,Bid
101165.9,0.527,2024-12-14 01:17:19,Bid
101165.8,0.36,2024-12-14 01:17:19,Bid
101165.7,0.081,2024-12-14 01:17:19,Bid
101165.6,0.004,2024-12-14 01:17:19,Bid
101165.5,0.002,2024-12-14 01:17:19,Bid
101165.4,0.148,2024-12-14 01:17:19,Bid
101165.3,0.229,2024-12-14 01:17:19,Bid
101165.2,0.082,2024-12-14 01:17:19,Bid
101165.0,0.007,2024-12-14 01:17:19,Bid
101164.9,0.215,2024-12-14 01:17:19,Bid
101164.7,0.156,2024-12-14 01:17:19,Bid
101164.6,0.028,2024-12-14 01:17:19,Bid
101164.5,0.96,2024-12-14 01:17:19,Bid
101164.4,0.08,2024-12-14 01:17:19,Bid
101164.3,0.002,2024-12-14 01:17:19,Bid
101164.2,0.003,2024-12-14 01:17:19,Bid
101164.1,0.122,2024-12-14 01:17:19,Bid
101164.0,0.49,2024-12-14 01:17:19,Bid
101163.9,0.91,2024-12-14 01:17:19,Bid
101163.8,0.011,2024-12-14 01:17:19,Bid
101163.7,0.52,2024-12-14 01:17:19,Bid
101163.6,0.048,2024-12-14 01:17:19,Bid
101163.5,0.294,2024-12-14 01:17:19,Bid
101163.4,0.108,2024-12-14 01:17:19,Bid
101163.3,0.006,2024-12-14 01:17:19,Bid
101163.2,0.009,2024-12-14 01:17:19,Bid
101163.0,0.243,2024-12-14 01:17:19,Bid
101162.9,0.011,2024-12-14 01:17:19,Bid
101162.8,0.2,2024-12-14 01:17:19,Bid
101162.7,0.845,2024-12-14 01:17:19,Bid
101162.6,0.975,2024-12-14 01:17:19,Bid
101162.5,1.394,2024-12-14 01:17:19,Bid
101162.4,0.004,2024-12-14 01:17:19,Bid
