Symbol,Side,Order Type,Time in Force,Quantity,Price,Average Price,Order Status,Last Filled Quantity,Filled Quantity,Event Time (IST),Trade Time (IST)
BTCUSDT,SELL,LIMIT,IOC,0.013,94434.91,94809.6,FILLED,0.013,0.013,2024-12-04 22:16:25.587000+05:30,2024-12-04 22:16:25.584000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.033,94413.17,94790.0,FILLED,0.002,0.033,2024-12-04 22:16:38.690000+05:30,2024-12-04 22:16:38.687000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.004,94428.32,94793.9,FILLED,0.004,0.004,2024-12-04 22:16:40.256000+05:30,2024-12-04 22:16:40.245000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.278,94398.27,94770.3,FILLED,0.142,0.278,2024-12-04 22:16:43.091000+05:30,2024-12-04 22:16:43.086000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.059,94413.84,94791.9,FILLED,0.038,0.059,2024-12-04 22:16:44.654000+05:30,2024-12-04 22:16:44.651000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.003,94490.89,94835.8,FILLED,0.003,0.003,2024-12-04 22:18:39.080000+05:30,2024-12-04 22:18:39.062000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.036,94461.52,94835.3,FILLED,0.036,0.036,2024-12-04 22:18:42.491000+05:30,2024-12-04 22:18:42.488000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.008,94494.45,94873.3,FILLED,0.008,0.008,2024-12-04 22:18:46.564000+05:30,2024-12-04 22:18:46.560000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.004,94492.96,94868.9,FILLED,0.004,0.004,2024-12-04 22:18:54.689000+05:30,2024-12-04 22:18:54.687000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.022,94482.6,94845.1,FILLED,0.022,0.022,2024-12-04 22:18:56.412000+05:30,2024-12-04 22:18:56.408000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.014,94468.08,94838.3,FILLED,0.014,0.014,2024-12-04 22:18:57.669000+05:30,2024-12-04 22:18:57.665000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.029,94460.15,94838.3,FILLED,0.021,0.029,2024-12-04 22:18:59.445000+05:30,2024-12-04 22:18:59.442000+05:30
BTCUSDT,SELL,LIMIT,IOC,0.07,94447.01,94833.3,FILLED,0.001,0.07,2024-12-04 22:19:01.719000+05:30,2024-12-04 22:19:01.716000+05:30
