Event Time (IST),Liquidation Type,Price,Quantity,Limit Executed Quantity,Market Executed Quantity
2024-12-14 00:04:48.114000+05:30,Short Trade,102127.24,0.003,0.003,0.0
2024-12-14 00:06:46.537000+05:30,Short Trade,102116.53,0.012,0.012,0.0
2024-12-14 00:07:11.299000+05:30,Short Trade,102132.21,0.004,0.004,0.0
2024-12-14 00:07:31.303000+05:30,Short Trade,102159.99,0.009,0.006,0.002999999999999999
2024-12-14 00:08:33.109000+05:30,Short Trade,102196.0,0.004,0.004,0.0
2024-12-14 00:08:34.169000+05:30,Short Trade,102200.14,0.001,0.001,0.0
2024-12-14 00:08:35.350000+05:30,Short Trade,102205.41,0.031,0.031,0.0
2024-12-14 00:08:37.036000+05:30,Short Trade,102211.11,0.002,0.002,0.0
2024-12-14 00:10:29.256000+05:30,Short Trade,102214.56,0.015,0.015,0.0
2024-12-14 00:10:31.277000+05:30,Short Trade,102223.07,0.004,0.004,0.0
2024-12-14 00:10:38.081000+05:30,Short Trade,102228.77,0.006,0.006,0.0
2024-12-14 00:10:39.138000+05:30,Short Trade,102239.97,0.288,0.142,0.146
2024-12-14 00:11:11.129000+05:30,Short Trade,102272.07,0.6,0.6,0.0
2024-12-14 00:11:12.336000+05:30,Short Trade,102266.48,0.081,0.081,0.0
2024-12-14 00:17:11.485000+05:30,Short Trade,101991.98,0.022,0.018,0.004
2024-12-14 00:22:26.117000+05:30,Short Trade,101547.3,0.003,0.003,0.0
2024-12-14 00:32:11.062000+05:30,Long Trade,102594.89,0.001,0.001,0.0
2024-12-14 00:33:32.536000+05:30,Long Trade,101366.7,0.435,0.13,0.305
2024-12-14 00:33:48.588000+05:30,Long Trade,101331.5,0.067,0.067,0.0
2024-12-14 00:33:50.290000+05:30,Long Trade,101330.0,0.004,0.002,0.002
2024-12-14 00:33:54.350000+05:30,Long Trade,101309.3,0.009,0.009,0.0
2024-12-14 00:34:01.189000+05:30,Long Trade,101299.6,0.008,0.008,0.0
2024-12-14 00:35:47.606000+05:30,Short Trade,101395.1,0.002,0.002,0.0
2024-12-14 00:43:53.151000+05:30,Long Trade,101296.0,0.019,0.019,0.0
2024-12-14 00:58:49.159000+05:30,Long Trade,101244.3,0.055,0.055,0.0
2024-12-14 00:59:05.109000+05:30,Long Trade,101220.3,0.042,0.005,0.037000000000000005
2024-12-14 01:04:21.373000+05:30,Long Trade,101222.0,0.129,0.116,0.012999999999999998
2024-12-14 01:05:41.196000+05:30,Long Trade,101201.1,0.011,0.011,0.0
2024-12-14 01:05:46.220000+05:30,Long Trade,101190.7,0.019,0.002,0.017
2024-12-14 01:08:22.425000+05:30,Long Trade,101168.0,0.034,0.002,0.032
2024-12-14 01:08:30.197000+05:30,Long Trade,101160.0,0.014,0.014,0.0
2024-12-14 01:08:32.168000+05:30,Long Trade,101163.8,0.005,0.005,0.0
2024-12-14 01:16:24.511000+05:30,Short Trade,101284.0,0.03,0.03,0.0
2024-12-14 01:17:04.609000+05:30,Long Trade,101305.0,0.004,0.004,0.0
2024-12-14 01:23:39.167000+05:30,Short Trade,101539.0,0.048,0.048,0.0
2024-12-14 01:24:22.090000+05:30,Short Trade,101560.0,0.089,0.089,0.0
2024-12-14 01:24:23.252000+05:30,Short Trade,101560.0,0.435,0.38,0.05499999999999999
2024-12-14 01:25:13.292000+05:30,Short Trade,101562.4,0.006,0.006,0.0
2024-12-14 01:25:22.116000+05:30,Short Trade,101574.3,0.005,0.005,0.0
